ProcessName , Mobile Device Vitals
StartReplayTime ,	2020-02-05 12:36:06
Limits			,-1		,-1 
Time  ,  Cpu (in %) ,  Free Memory (in KB) 
2020-02-05 12:36:06   ,  0 ,  0 
2020-02-05 12:36:08 ,  0 ,  0
2020-02-05 12:36:09 ,  0 ,  0
2020-02-05 12:36:10 ,  0 ,  0
2020-02-05 12:36:11 ,  0 ,  0
2020-02-05 12:36:12 ,  0 ,  0
2020-02-05 12:36:13 ,  0 ,  0
2020-02-05 12:36:14 ,  0 ,  0
2020-02-05 12:36:15 ,  0 ,  0
2020-02-05 12:36:16 ,  0 ,  0
2020-02-05 12:36:17 ,  0 ,  0
2020-02-05 12:36:18 ,  0 ,  0
2020-02-05 12:36:19 ,  0 ,  0
2020-02-05 12:36:20 ,  0 ,  0
2020-02-05 12:36:21 ,  0 ,  0
2020-02-05 12:36:22 ,  0 ,  0
2020-02-05 12:36:23 ,  0 ,  0
2020-02-05 12:36:24 ,  0 ,  0
2020-02-05 12:36:25 ,  0 ,  0
2020-02-05 12:36:26 ,  0 ,  0
2020-02-05 12:36:27 ,  0 ,  0
2020-02-05 12:36:28 ,  0 ,  0
2020-02-05 12:36:29 ,  0 ,  0
2020-02-05 12:36:30 ,  1 ,  753120
2020-02-05 12:36:31 ,  1 ,  753120
2020-02-05 12:36:32 ,  8 ,  761832
2020-02-05 12:36:33 ,  16 ,  748748
2020-02-05 12:36:34 ,  2 ,  738636
2020-02-05 12:36:35 ,  2 ,  738636
2020-02-05 12:36:36 ,  5 ,  755736
2020-02-05 12:36:37 ,  0 ,  753732
2020-02-05 12:36:39 ,  1 ,  752072
2020-02-05 12:36:39 ,  1 ,  752072
2020-02-05 12:36:40 ,  8 ,  755652
2020-02-05 12:36:41 ,  4 ,  756272
2020-02-05 12:36:42 ,  4 ,  756272
2020-02-05 12:36:43 ,  0 ,  756508
2020-02-05 12:36:44 ,  1 ,  766340
2020-02-05 12:36:45 ,  1 ,  766340
2020-02-05 12:36:46 ,  0 ,  765756
2020-02-05 12:36:47 ,  0 ,  765692
2020-02-05 12:36:48 ,  0 ,  762444
2020-02-05 12:36:49 ,  0 ,  762444
2020-02-05 12:36:50 ,  0 ,  752416
2020-02-05 12:36:51 ,  0 ,  753660
2020-02-05 12:36:52 ,  0 ,  751508
2020-02-05 12:36:53 ,  0 ,  751508
2020-02-05 12:36:54 ,  0 ,  753764
2020-02-05 12:36:55 ,  0 ,  759576
2020-02-05 12:36:56 ,  0 ,  759576
2020-02-05 12:36:57 ,  1 ,  758440
2020-02-05 12:36:58 ,  0 ,  760284
2020-02-05 12:36:59 ,  2 ,  758844
2020-02-05 12:37:00 ,  2 ,  758844
2020-02-05 12:37:02 ,  0 ,  769928
2020-02-05 12:37:02 ,  3 ,  766392
2020-02-05 12:37:03 ,  3 ,  766392
2020-02-05 12:37:04 ,  4 ,  762784
2020-02-05 12:37:05 ,  0 ,  757792
2020-02-05 12:37:06 ,  0 ,  761992
2020-02-05 12:37:07 ,  0 ,  761992
2020-02-05 12:37:08 ,  0 ,  761108
2020-02-05 12:37:09 ,  0 ,  769704
2020-02-05 12:37:10 ,  0 ,  769704
2020-02-05 12:37:11 ,  0 ,  769164
2020-02-05 12:37:12 ,  0 ,  769508
2020-02-05 12:37:14 ,  0 ,  771220
2020-02-05 12:37:14 ,  0 ,  771220
2020-02-05 12:37:15 ,  8 ,  776528
2020-02-05 12:37:17 ,  0 ,  776100
2020-02-05 12:37:17 ,  7 ,  764184
2020-02-05 12:37:18 ,  7 ,  764184
2020-02-05 12:37:19 ,  4 ,  774584
2020-02-05 12:37:20 ,  3 ,  775348
2020-02-05 12:37:21 ,  3 ,  775348
2020-02-05 12:37:22 ,  0 ,  767864
2020-02-05 12:37:23 ,  0 ,  767000
2020-02-05 12:37:24 ,  1 ,  763548
2020-02-05 12:37:25 ,  1 ,  763548
2020-02-05 12:37:26 ,  2 ,  761860
2020-02-05 12:37:27 ,  1 ,  761204
2020-02-05 12:37:28 ,  1 ,  761204
2020-02-05 12:37:30 ,  0 ,  750720
2020-02-05 12:37:30 ,  0 ,  750720
